No,자료시점,종로구,종로구,중구,중구,용산구,용산구,성동구,성동구,광진구,광진구,동대문구,동대문구,중랑구,중랑구,성북구,성북구,강북구,강북구,도봉구,도봉구,노원구,노원구,은평구,은평구,서대문구,서대문구,마포구,마포구,양천구,양천구,강서구,강서구,구로구,구로구,금천구,금천구,영등포구,영등포구,동작구,동작구,관악구,관악구,서초구,서초구,강남구,강남구,송파구,송파구,강동구,강동구
No,자료시점,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률
23,2016년 11월,87.51,0.18,84.75,0.24,82.56,0.24,82.91,0.36,86.11,0.31,85.66,0.26,88.52,0.22,85.4,0.23,87.79,0.26,87.12,0.29,84.24,0.68,87.97,0.21,86.99,0.25,80.77,0.26,84.36,0.51,86.08,0.56,86.51,0.33,88.73,0.21,81.88,0.44,83.05,0.33,88.13,0.39,84.44,0.32,82.68,0.32,81.99,0.33,83.06,0.33
24,2016년 12월,87.64,0.16,84.88,0.15,82.7,0.17,82.99,0.1,86.27,0.19,85.73,0.07,88.56,0.04,85.56,0.19,87.81,0.03,87.21,0.1,84.38,0.16,88.1,0.15,87.15,0.19,80.94,0.21,84.44,0.09,86.35,0.32,86.65,0.16,88.86,0.14,82.04,0.19,83.14,0.1,88.24,0.12,84.35,-0.1,82.57,-0.14,81.9,-0.1,83.01,-0.06
25,2017년 1월,87.74,0.12,84.93,0.06,82.8,0.13,82.98,-0.02,86.29,0.02,85.73,0,88.55,-0.01,85.66,0.12,87.81,0,87.21,-0.01,84.37,-0.01,88.21,0.12,87.28,0.15,81.07,0.17,84.47,0.03,86.48,0.15,86.69,0.05,88.89,0.04,82.11,0.09,83.17,0.05,88.3,0.07,84.29,-0.08,82.44,-0.16,81.82,-0.1,82.94,-0.08
26,2017년 2월,87.82,0.09,84.99,0.07,82.89,0.11,82.96,-0.02,86.29,0,85.73,0,88.56,0.01,85.68,0.02,87.8,-0.01,87.19,-0.03,84.38,0.01,88.29,0.09,87.32,0.05,81.19,0.15,84.45,-0.02,86.56,0.09,86.74,0.06,88.97,0.08,82.2,0.1,83.28,0.13,88.36,0.06,84.32,0.04,82.47,0.04,81.87,0.06,83.09,0.18
27,2017년 3월,87.95,0.14,85.11,0.14,83.09,0.24,82.99,0.04,86.33,0.05,85.76,0.03,88.59,0.03,85.74,0.07,87.81,0.01,87.22,0.04,84.42,0.05,88.42,0.15,87.49,0.19,81.41,0.27,84.46,0.01,86.76,0.23,86.88,0.16,89.09,0.14,82.37,0.21,83.44,0.18,88.48,0.14,84.49,0.21,82.71,0.29,82.01,0.18,83.13,0.06
28,2017년 4월,88.13,0.21,85.28,0.2,83.37,0.34,83.25,0.31,86.43,0.11,85.94,0.21,88.72,0.15,85.82,0.1,87.84,0.03,87.33,0.13,84.54,0.15,88.6,0.2,87.69,0.24,81.72,0.39,84.58,0.14,87.09,0.38,87.17,0.33,89.36,0.31,82.7,0.4,83.71,0.32,88.75,0.3,84.75,0.3,82.91,0.24,82.2,0.23,83.19,0.06
29,2017년 5월,88.29,0.18,85.48,0.24,83.69,0.38,83.67,0.51,86.68,0.3,86.29,0.4,88.93,0.24,85.84,0.02,87.95,0.12,87.56,0.26,84.89,0.41,88.84,0.27,87.94,0.28,82,0.33,84.92,0.4,87.58,0.56,87.47,0.34,89.65,0.33,83.13,0.52,84.07,0.43,89.03,0.31,85.05,0.35,83.28,0.46,82.47,0.33,83.6,0.5
30,2017년 6월,88.58,0.33,85.82,0.4,84.2,0.61,84.39,0.85,87.09,0.47,86.68,0.45,89.16,0.25,85.98,0.15,88.15,0.23,87.93,0.43,85.62,0.86,89.17,0.37,88.24,0.34,82.43,0.53,85.7,0.93,88.12,0.62,87.8,0.38,90.03,0.42,83.71,0.7,84.48,0.5,89.38,0.4,85.91,1.01,84.46,1.42,83.33,1.04,84.8,1.44
31,2017년 7월,88.89,0.36,86.21,0.45,84.62,0.5,84.99,0.71,87.43,0.39,86.97,0.33,89.4,0.26,86.21,0.27,88.27,0.13,88.22,0.33,86.51,1.03,89.47,0.33,88.51,0.32,82.81,0.46,86.07,0.43,88.51,0.45,88.1,0.34,90.3,0.31,84.18,0.56,84.83,0.41,89.75,0.41,86.28,0.43,84.72,0.3,83.59,0.3,84.97,0.2
32,2017년 8월,89.2,0.34,86.58,0.44,85.01,0.46,85.33,0.4,87.76,0.38,87.19,0.26,89.62,0.25,86.5,0.34,88.4,0.15,88.43,0.24,86.93,0.48,89.71,0.28,88.74,0.26,83.18,0.45,86.6,0.62,89.03,0.58,88.43,0.38,90.79,0.54,84.53,0.42,85.46,0.74,90.2,0.5,86.52,0.28,85.29,0.67,84.19,0.71,85.47,0.59
33,2017년 9월,89.38,0.21,86.82,0.28,85.15,0.16,85.21,-0.14,87.94,0.21,87.37,0.21,89.71,0.1,86.78,0.33,88.5,0.12,88.56,0.14,86.77,-0.18,89.83,0.13,88.89,0.17,83.38,0.24,86.6,-0.01,89.02,-0.01,88.55,0.14,90.92,0.14,84.69,0.19,85.53,0.08,90.31,0.13,86.41,-0.13,85.21,-0.09,84.26,0.09,85.35,-0.14
34,2017년 10월,89.57,0.21,87.09,0.3,85.28,0.16,85.31,0.11,88.24,0.34,87.54,0.19,89.83,0.14,87.08,0.34,88.65,0.17,88.68,0.14,86.83,0.07,89.93,0.12,89.06,0.19,83.51,0.16,86.74,0.16,89.11,0.1,88.73,0.2,91.11,0.21,84.91,0.26,85.7,0.2,90.41,0.11,86.46,0.07,85.47,0.31,85,0.88,85.63,0.33
