No,자료시점,종로구,종로구,중구,중구,용산구,용산구,성동구,성동구,광진구,광진구,동대문구,동대문구,중랑구,중랑구,성북구,성북구,강북구,강북구,도봉구,도봉구,노원구,노원구,은평구,은평구,서대문구,서대문구,마포구,마포구,양천구,양천구,강서구,강서구,구로구,구로구,금천구,금천구,영등포구,영등포구,동작구,동작구,관악구,관악구,서초구,서초구,강남구,강남구,송파구,송파구,강동구,강동구
No,자료시점,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률
24,2022년 12월,100.19,-0.97,96.86,-2.49,101.38,-1.28,99,-1.43,100.01,-1.01,97.75,-2.28,98.78,-1.97,96.53,-2.77,98.85,-1.57,96.01,-2.98,93.79,-4.28,98.34,-2.19,97.42,-2.14,98.77,-2.14,99.13,-1.38,98.6,-1.64,99.02,-1.39,98.55,-1.49,98.13,-2.05,100.19,-1.78,98.69,-1.58,103.11,-1.06,101.25,-1.48,98.81,-2.17,99,-1.82
25,2023년 1월,99.41,-0.78,95.47,-1.43,100.4,-0.97,98.1,-0.91,99.03,-0.98,96.33,-1.45,97.58,-1.22,95.05,-1.53,97.91,-0.95,94.29,-1.79,91.86,-2.06,97.14,-1.21,96.07,-1.39,97.65,-1.13,98.29,-0.85,96.96,-1.66,97.64,-1.4,97.18,-1.39,96.59,-1.56,99.37,-0.82,97.34,-1.37,102.42,-0.67,100.35,-0.89,97.91,-0.91,97.59,-1.43
26,2023년 2월,98.98,-0.44,94.71,-0.8,99.93,-0.47,97.41,-0.7,98.22,-0.82,95.47,-0.9,96.75,-0.85,94.54,-0.54,97.23,-0.7,93.36,-0.99,91.25,-0.66,96.5,-0.66,95.33,-0.76,96.95,-0.71,97.54,-0.76,95.78,-1.21,96.66,-1,95.87,-1.35,95.6,-1.03,98.45,-0.93,96.48,-0.88,101.95,-0.46,99.72,-0.63,97.22,-0.7,96.58,-1.03
27,2023년 3월,98.64,-0.34,94.16,-0.58,99.53,-0.4,96.8,-0.62,97.42,-0.82,94.77,-0.73,96.11,-0.67,94.08,-0.48,96.75,-0.49,92.5,-0.92,90.84,-0.45,96.09,-0.43,94.85,-0.51,96.43,-0.55,97.04,-0.52,94.9,-0.92,96.02,-0.66,94.83,-1.08,94.83,-0.8,98.1,-0.36,95.88,-0.62,101.76,-0.19,99.37,-0.35,96.89,-0.34,96.35,-0.24
28,2023년 4월,98.34,-0.31,93.76,-0.42,99.42,-0.11,96.45,-0.37,96.84,-0.59,94.35,-0.44,95.71,-0.41,93.64,-0.47,96.36,-0.4,91.89,-0.66,90.67,-0.19,95.78,-0.32,94.49,-0.39,96.15,-0.29,96.78,-0.27,94.27,-0.66,95.41,-0.64,94.13,-0.74,94.48,-0.37,98.06,-0.04,95.52,-0.38,101.74,-0.02,99.31,-0.06,96.64,-0.26,96.24,-0.11
29,2023년 5월,98.06,-0.28,93.61,-0.17,99.45,0.03,96.43,-0.02,96.48,-0.37,94.13,-0.24,95.45,-0.27,93.42,-0.23,96.07,-0.31,91.62,-0.29,90.72,0.06,95.55,-0.24,94.23,-0.27,95.98,-0.18,96.58,-0.21,93.82,-0.48,95.07,-0.35,93.76,-0.4,94.31,-0.18,98.06,0,95.29,-0.23,102.08,0.33,99.63,0.32,97.07,0.45,96.31,0.07
30,2023년 6월,97.97,-0.1,93.45,-0.17,99.54,0.09,96.49,0.06,96.48,0,94.09,-0.05,95.37,-0.08,93.34,-0.09,95.9,-0.17,91.48,-0.15,90.7,-0.03,95.38,-0.17,94.14,-0.1,96.13,0.16,96.43,-0.15,93.6,-0.24,94.96,-0.12,93.53,-0.24,94.3,-0.01,98.08,0.02,95.13,-0.18,102.43,0.34,100.08,0.45,97.97,0.93,96.45,0.14
31,2023년 7월,98,0.04,93.5,0.06,99.71,0.17,96.81,0.34,96.61,0.14,94.26,0.19,95.42,0.05,93.38,0.04,95.86,-0.05,91.48,0,90.66,-0.04,95.39,0.01,94.19,0.05,96.45,0.33,96.7,0.28,93.61,0.01,95,0.04,93.54,0.01,94.5,0.21,98.12,0.04,95.14,0.01,102.59,0.16,100.41,0.33,98.52,0.56,96.72,0.29
32,2023년 8월,98.1,0.1,93.71,0.22,100.09,0.39,97.58,0.79,96.83,0.23,94.74,0.51,95.61,0.19,93.59,0.23,95.87,0.01,91.57,0.1,90.69,0.03,95.48,0.1,94.28,0.1,96.86,0.43,97.1,0.41,93.72,0.12,95.08,0.09,93.68,0.15,94.89,0.42,98.13,0.01,95.31,0.17,102.86,0.26,100.9,0.49,99.48,0.97,97.05,0.34
33,2023년 9월,98.32,0.22,94.08,0.39,100.5,0.41,98.16,0.6,97.05,0.23,95.26,0.55,95.89,0.29,93.95,0.38,95.91,0.04,91.68,0.11,90.78,0.11,95.66,0.19,94.5,0.23,97.24,0.4,97.61,0.52,93.85,0.14,95.27,0.2,93.93,0.26,95.36,0.49,98.19,0.06,95.53,0.23,103.13,0.26,101.37,0.46,100.17,0.7,97.49,0.45
