"행정구역별(시군구)","거처의 종류",2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"행정구역별(시군구)","거처의 종류",거처,가구-계,일반가구,집단가구-비친족 6인 이상 가구,집단가구-집단시설가구,외국인가구,가구원-계,일반가구원,집단가구원-비친족 6인 이상 가구,집단가구원-집단시설가구,외국인가구원,거처,가구-계,일반가구,집단가구-비친족 6인 이상 가구,집단가구-집단시설가구,외국인가구,가구원-계,일반가구원,집단가구원-비친족 6인 이상 가구,집단가구원-집단시설가구,외국인가구원,거처,가구-계,일반가구,집단가구-비친족 6인 이상 가구,집단가구-집단시설가구,외국인가구,가구원-계,일반가구원,집단가구원-비친족 6인 이상 가구,집단가구원-집단시설가구,외국인가구원
"중랑구","계",117428,170021,167260,44,23,2694,376415,370216,350,1262,4587,121605,173424,170544,45,20,2815,375190,368945,383,1124,4738,123528,174863,171823,44,24,2972,372733,366044,373,1255,5061
"중랑구","주택_계",112641,163685,161107,31,X,2544,366376,361744,233,10,4389,116223,166320,163660,31,X,2627,364413,359661,254,5,4493,117686,167123,164340,31,X,2750,361110,356097,253,13,4747
"중랑구","주택_단독주택",17973,66366,64272,5,X,2088,126335,122766,34,X,3532,17729,65260,63140,6,X,2113,121627,118013,52,X,3561,17679,64362,62190,X,X,2169,117809,114105,25,9,3670
"중랑구","주택_아파트",55470,55499,55402,5,X,92,144936,144740,36,X,160,57782,57810,57688,X,X,120,146812,146595,16,X,201,58689,58730,58590,X,X,136,147273,147007,30,X,236
"중랑구","주택_연립주택",4280,4282,4263,X,X,19,10379,10343,X,X,36,4321,4326,4304,X,X,22,10288,10242,X,X,46,4226,4233,4206,X,X,27,9959,9905,X,X,54
"중랑구","주택_다세대주택",33441,33493,33256,X,X,231,76725,76210,26,7,482,34961,35014,34757,6,X,250,77996,77454,43,X,495,35655,35714,35419,5,X,289,78279,77638,32,X,605
"중랑구","주택_비주거용 건물 내 주택",1477,4045,3914,17,X,114,8001,7685,137,X,179,1430,3910,3771,17,X,122,7690,7357,143,X,190,1437,4084,3935,20,X,129,7790,7442,166,X,182
"중랑구","주택 이외의 거처_계",4787,6336,6153,13,20,150,10039,8472,117,1252,198,5382,7104,6884,14,18,188,10777,9284,129,1119,245,5842,7740,7483,13,22,222,11623,9947,120,1242,314
"중랑구","주택 이외의 거처_오피스텔",3185,3187,3123,X,X,63,4328,4238,6,X,84,3752,3757,3679,X,X,77,5029,4923,9,X,97,4203,4205,4119,X,X,85,5626,5495,8,X,123
"성북구","계",140799,187246,181827,117,107,5195,429702,412726,1016,8332,7628,143299,190541,183972,138,89,6342,430102,411430,1345,8095,9232,144007,191164,184404,134,81,6545,426829,407265,1298,9017,9249
"성북구","주택_계",136684,178889,174624,101,9,4155,410800,403475,874,166,6285,139107,181289,176405,111,7,4766,410159,401763,1071,90,7235,139732,181703,176640,117,11,4935,406106,397430,1137,224,7315
"성북구","주택_단독주택",20826,59597,56517,46,8,3026,109548,104602,393,116,4437,20494,59367,55696,49,6,3616,107075,101250,484,48,5293,20309,58908,55168,51,8,3681,104656,98745,537,117,5257
"성북구","주택_아파트",79550,79616,79321,17,X,278,215473,214803,113,X,557,81941,82003,81714,10,X,279,218321,217674,71,X,576,82321,82372,82087,13,X,272,217286,216652,93,X,541
"성북구","주택_연립주택",5895,5908,5843,5,X,60,14201,14048,35,X,118,5854,5867,5806,X,X,57,13904,13748,34,X,122,5985,5997,5922,5,X,70,13773,13581,39,X,153
"성북구","주택_다세대주택",29088,29138,28761,6,X,371,63826,63150,39,X,637,29516,29555,29165,10,X,380,63286,62524,81,X,681,29824,29864,29417,8,X,439,62757,61923,62,X,772
"성북구","주택_비주거용 건물 내 주택",1325,4630,4182,27,X,420,7752,6872,294,50,536,1302,4497,4024,38,X,434,7573,6567,401,42,563,1293,4562,4046,40,X,473,7634,6529,406,107,592
"성북구","주택 이외의 거처_계",4115,8357,7203,16,98,1040,18902,9251,142,8166,1343,4192,9252,7567,27,82,1576,19943,9667,274,8005,1997,4275,9461,7764,17,70,1610,20723,9835,161,8793,1934
"성북구","주택 이외의 거처_오피스텔",2273,2286,2173,X,X,113,2933,2796,X,X,137,2396,2414,2311,X,X,103,3125,3001,X,X,124,2547,2563,2465,X,X,98,3286,3176,X,X,110
"강북구","계",98231,132458,130329,61,31,2037,289587,284035,518,1828,3206,100115,133870,131275,65,28,2502,284651,278880,566,1433,3772,101012,134438,131363,60,30,2985,281062,274648,562,1376,4476
"강북구","주택_계",95498,128048,126115,48,X,1882,281996,278541,416,31,3008,97020,129014,126731,50,X,2230,277009,273107,438,29,3435,97548,128972,126414,48,X,2507,272739,268388,460,30,3861
"강북구","주택_단독주택",17119,48341,46859,18,X,1462,91438,89042,135,22,2239,16975,47695,46053,15,X,1625,88406,85847,104,20,2435,16889,47027,45173,18,X,1833,86025,83114,140,30,2741
"강북구","주택_아파트",34007,34033,33958,X,X,75,86361,86233,X,X,128,35063,35084,34856,X,X,227,86165,85850,10,X,305,35657,35681,35473,X,X,207,86171,85883,9,X,279
"강북구","주택_연립주택",4660,4666,4634,X,X,31,11317,11256,9,X,52,4703,4711,4677,X,X,34,11042,10985,X,X,57,4683,4688,4647,X,X,41,10772,10696,X,X,76
"강북구","주택_다세대주택",38734,38801,38559,X,X,241,88351,87856,X,9,486,39317,39379,39117,5,X,256,87020,86465,34,9,512,39354,39419,39100,X,X,319,85455,84849,X,X,606
"강북구","주택_비주거용 건물 내 주택",978,2207,2105,29,X,73,4529,4154,272,X,103,962,2145,2028,29,X,88,4376,3960,290,X,126,965,2157,2021,29,X,107,4316,3846,311,X,159
"강북구","주택 이외의 거처_계",2733,4410,4214,13,28,155,7591,5494,102,1797,198,3095,4856,4544,15,25,272,7642,5773,128,1404,337,3464,5466,4949,12,27,478,8323,6260,102,1346,615
"강북구","주택 이외의 거처_오피스텔",1624,1625,1587,X,X,36,2087,2027,14,X,46,1984,1984,1882,X,X,99,2454,2314,21,X,119,2320,2320,2097,X,X,222,2884,2592,7,X,285
"도봉구","계",109337,129498,128439,46,27,986,306312,302596,380,1846,1490,110208,130115,128975,46,33,1061,301197,297133,382,2050,1632,110709,130370,129149,48,31,1142,297152,292856,408,2119,1769
"도봉구","주택_계",104675,124092,123241,19,X,831,296204,294731,170,6,1297,105230,124344,123436,22,X,885,290449,288850,204,X,1391,105327,124000,123041,22,X,937,285805,284097,208,X,1500
"도봉구","주택_단독주택",8380,26933,26432,X,X,500,50957,50239,X,6,712,8292,26545,26008,X,X,533,49454,48687,22,X,741,8271,26148,25582,6,X,560,47781,46922,55,X,804
"도봉구","주택_아파트",63654,63685,63534,X,X,147,166735,166470,25,X,240,63659,63699,63530,X,X,167,163249,162940,12,X,297,63684,63719,63550,X,X,168,161627,161321,6,X,300
"도봉구","주택_연립주택",4056,4061,4051,X,X,10,10212,10192,X,X,20,4064,4069,4061,X,X,8,9955,9941,X,X,14,4071,4073,4066,X,X,7,9763,9749,X,X,14
"도봉구","주택_다세대주택",27908,27949,27806,X,X,141,65185,64896,13,X,276,28551,28595,28452,X,X,140,64781,64474,22,X,285,28647,28688,28526,X,X,160,63717,63383,14,X,320
"도봉구","주택_비주거용 건물 내 주택",677,1464,1418,13,X,33,3115,2934,132,X,49,664,1436,1385,14,X,37,3010,2808,148,X,54,654,1372,1317,13,X,42,2917,2722,133,X,62
"도봉구","주택 이외의 거처_계",4662,5406,5198,27,26,155,10108,7865,210,1840,193,4978,5771,5539,24,32,176,10748,8283,178,2046,241,5382,6370,6108,26,31,205,11347,8759,200,2119,269
"도봉구","주택 이외의 거처_오피스텔",3777,3779,3673,X,X,105,5852,5726,X,7,119,4118,4119,4008,X,X,111,6246,6111,X,X,135,4560,4564,4444,X,X,120,6676,6535,X,X,141
"노원구","계",187645,205936,204282,64,41,1549,498395,488629,493,6907,2366,188708,206796,205078,48,46,1624,491043,480815,379,7421,2428,189465,207589,205769,52,40,1728,487918,476548,446,8391,2533
"노원구","주택_계",184405,201637,200310,53,X,1271,485738,482496,409,815,2018,185466,202556,201161,38,X,1354,477218,474781,302,44,2091,186088,203096,201624,45,X,1424,472968,470370,386,47,2165
"노원구","주택_단독주택",6129,21949,21212,X,X,733,38120,37023,29,6,1062,6035,21733,20898,5,X,829,37023,35822,41,6,1154,5832,21418,20532,X,X,881,35737,34426,44,15,1252
"노원구","주택_아파트",159622,159724,159378,24,X,322,402949,402179,173,X,597,160620,160725,160383,13,X,329,397168,396468,90,X,610,161383,161495,161152,18,X,325,394887,394186,129,X,572
"노원구","주택_연립주택",3381,3383,3366,X,X,16,8560,8524,8,X,28,3425,3426,3405,X,X,20,8447,8401,12,X,34,3436,3441,3432,X,X,9,8365,8346,X,X,19
"노원구","주택_다세대주택",14613,14627,14503,12,X,112,31608,31330,81,X,197,14742,14771,14663,9,X,99,31048,30799,64,X,185,14798,14837,14718,11,X,108,30513,30234,85,X,194
"노원구","주택_비주거용 건물 내 주택",660,1954,1851,13,X,88,4501,3440,118,809,134,644,1901,1812,10,X,77,3532,3291,95,38,108,639,1905,1790,12,X,101,3466,3178,128,32,128
"노원구","주택 이외의 거처_계",3240,4299,3972,11,38,278,12657,6133,84,6092,348,3242,4240,3917,10,43,270,13825,6034,77,7377,337,3377,4493,4145,7,37,304,14950,6178,60,8344,368
"노원구","주택 이외의 거처_오피스텔",2402,2405,2323,X,X,82,4052,3960,X,X,92,2375,2377,2293,X,X,82,3955,3837,6,20,92,2513,2517,2438,X,X,78,4030,3933,8,X,89
"은평구","계",162799,195512,193626,53,40,1793,453098,445703,490,3910,2995,165954,198082,196206,64,43,1769,450263,442955,623,3763,2922,169173,200425,198534,55,38,1798,448927,442002,531,3455,2939
"은평구","주택_계",152422,183535,181938,40,6,1551,432849,429684,374,103,2688,155162,185642,184059,55,X,1524,429736,426482,541,97,2616,157815,187298,185735,48,X,1512,428083,424997,472,37,2577
"은평구","주택_단독주택",14575,43876,43058,18,X,798,87071,85644,171,17,1239,14183,42874,42048,28,X,796,83256,81718,274,33,1231,13617,41204,40416,26,X,760,78579,77108,266,33,1172
"은평구","주택_아파트",63238,63289,63059,X,X,228,170071,169645,13,X,413,66117,66175,65956,X,X,216,174794,174357,20,X,417,69592,69650,69424,X,X,224,181492,181049,18,X,425
"은평구","주택_연립주택",5607,5619,5589,X,X,28,14406,14337,13,X,56,5452,5461,5440,X,X,20,13645,13594,7,X,44,5290,5299,5273,X,X,25,13054,13004,6,X,44
"은평구","주택_다세대주택",67845,67939,67506,5,X,425,155369,154440,36,27,866,68282,68369,67933,10,X,425,152303,151388,84,6,825,68196,68285,67853,6,X,425,149277,148412,38,X,823
"은평구","주택_비주거용 건물 내 주택",1157,2812,2726,13,X,72,5932,5618,141,59,114,1128,2763,2682,13,X,67,5738,5425,156,58,99,1120,2860,2769,13,X,78,5681,5424,144,X,113
"은평구","주택 이외의 거처_계",10377,11977,11688,13,34,242,20249,16019,116,3807,307,10792,12440,12147,9,39,245,20527,16473,82,3666,306,11358,13127,12799,7,35,286,20844,17005,59,3418,362
"은평구","주택 이외의 거처_오피스텔",7867,7871,7735,X,X,135,10110,9952,7,X,151,8252,8255,8113,X,X,142,10549,10388,X,X,161,8811,8816,8644,X,X,172,11108,10909,X,X,199
"서대문구","계",106561,140409,134544,72,41,5752,309453,292657,678,7489,8629,109273,143327,136043,81,43,7160,313074,291938,706,10086,10344,111795,145742,138166,77,44,7455,315054,293455,726,10502,10371
"서대문구","주택_계",99526,131216,126490,66,7,4653,290136,282171,621,72,7272,101623,133397,127647,74,7,5669,290577,281282,659,102,8534,103742,135465,129522,70,6,5867,291811,282603,664,76,8468
"서대문구","주택_단독주택",12165,41520,38523,22,X,2972,72302,67656,222,47,4377,12096,41540,37719,27,X,3790,71110,65360,254,84,5412,11902,41214,37286,30,X,3895,69372,63682,293,59,5338
"서대문구","주택_아파트",54411,54487,53951,7,X,528,142405,141202,53,5,1145,56287,56367,55836,8,X,523,145079,143913,59,X,1107,58369,58441,57897,X,X,539,148784,147683,32,5,1064
"서대문구","주택_연립주택",5134,5144,5056,X,X,84,12652,12447,20,6,179,5043,5057,4967,X,X,88,12205,12022,6,X,173,5184,5198,5097,X,X,100,12308,12115,7,X,186
"서대문구","주택_다세대주택",26969,27010,26358,11,X,639,57738,56615,99,14,1010,27362,27405,26662,12,X,729,57175,55944,83,14,1134,27457,27519,26698,8,X,811,56311,55028,66,12,1205
"서대문구","주택_비주거용 건물 내 주택",847,3055,2602,23,X,430,5039,4251,227,X,561,835,3028,2463,26,X,539,5008,4043,257,X,708,830,3093,2544,27,X,522,5036,4095,266,X,675
"서대문구","주택 이외의 거처_계",7035,9193,8054,6,34,1099,19317,10486,57,7417,1357,7650,9930,8396,7,36,1491,22497,10656,47,9984,1810,8053,10277,8644,7,38,1588,23243,10852,62,10426,1903
"서대문구","주택 이외의 거처_오피스텔",5685,5695,5211,X,X,482,7060,6488,17,X,555,6296,6305,5710,X,X,592,7696,6982,12,31,671,6714,6725,6042,X,X,682,8080,7309,6,X,765
"마포구","계",137553,169539,164080,75,23,5361,360679,349062,613,2911,8093,140486,171619,165603,66,19,5931,357954,345377,600,3255,8722,142157,173258,167410,70,22,5756,357160,344866,584,3400,8310
