월,구,수급등급
01,은평구,91.1
02,은평구,88.5
03,은평구,91.5
04,은평구,92.4
05,은평구,91.1
06,은평구,87.7
07,은평구,87.3
08,은평구,85.6
09,은평구,82.5
10,은평구,80.1
11,은평구,74.9
12,은평구,69.4
01,서대문구,91.1
02,서대문구,88.5
03,서대문구,91.5
04,서대문구,92.4
05,서대문구,91.1
06,서대문구,87.7
07,서대문구,87.3
08,서대문구,85.6
09,서대문구,82.5
10,서대문구,80.1
11,서대문구,74.9
12,서대문구,69.4
01,마포구,91.1
02,마포구,88.5
03,마포구,91.5
04,마포구,92.4
05,마포구,91.1
06,마포구,87.7
07,마포구,87.3
08,마포구,85.6
09,마포구,82.5
10,마포구,80.1
11,마포구,74.9
12,마포구,69.4
01,양천구,93.0
02,양천구,91.8
03,양천구,91.7
04,양천구,92.4
05,양천구,92.7
06,양천구,91.5
07,양천구,90.7
08,양천구,88.9
09,양천구,86.8
10,양천구,80.0
11,양천구,70.3
12,양천구,65.5
01,강서구,93.0
02,강서구,91.8
03,강서구,91.7
04,강서구,92.4
05,강서구,92.7
06,강서구,91.5
07,강서구,90.7
08,강서구,88.9
09,강서구,86.8
10,강서구,80.0
11,강서구,70.3
12,강서구,65.5
01,구로구,93.0
02,구로구,91.8
03,구로구,91.7
04,구로구,92.4
05,구로구,92.7
06,구로구,91.5
07,구로구,90.7
08,구로구,88.9
09,구로구,86.8
10,구로구,80.0
11,구로구,70.3
12,구로구,65.5
01,금천구,93.0
02,금천구,91.8
03,금천구,91.7
04,금천구,92.4
05,금천구,92.7
06,금천구,91.5
07,금천구,90.7
08,금천구,88.9
09,금천구,86.8
10,금천구,80.0
11,금천구,70.3
12,금천구,65.5
01,영등포구,93.0
02,영등포구,91.8
03,영등포구,91.7
04,영등포구,92.4
05,영등포구,92.7
06,영등포구,91.5
07,영등포구,90.7
08,영등포구,88.9
09,영등포구,86.8
10,영등포구,80.0
11,영등포구,70.3
12,영등포구,65.5
01,동작구,93.0
02,동작구,91.8
03,동작구,91.7
04,동작구,92.4
05,동작구,92.7
06,동작구,91.5
07,동작구,90.7
08,동작구,88.9
09,동작구,86.8
10,동작구,80.0
11,동작구,70.3
12,동작구,65.5
01,관악구,93.0
02,관악구,91.8
03,관악구,91.7
04,관악구,92.4
05,관악구,92.7
06,관악구,91.5
07,관악구,90.7
08,관악구,88.9
09,관악구,86.8
10,관악구,80.0
11,관악구,70.3
12,관악구,65.5
01,서초구,89.1
02,서초구,86.6
03,서초구,90.8
04,서초구,94.8
05,서초구,95.5
06,서초구,94.0
07,서초구,93.2
08,서초구,90.3
09,서초구,85.9
10,서초구,80.5
11,서초구,77.6
12,서초구,75.0
01,강남구,89.1
02,강남구,86.6
03,강남구,90.8
04,강남구,94.8
05,강남구,95.5
06,강남구,94.0
07,강남구,93.2
08,강남구,90.3
09,강남구,85.9
10,강남구,80.5
11,강남구,77.6
12,강남구,75.0
01,송파구,89.1
02,송파구,86.6
03,송파구,90.8
04,송파구,94.8
05,송파구,95.5
06,송파구,94.0
07,송파구,93.2
08,송파구,90.3
09,송파구,85.9
10,송파구,80.5
11,송파구,77.6
12,송파구,75.0
01,강동구,89.1
02,강동구,86.6
03,강동구,90.8
04,강동구,94.8
05,강동구,95.5
06,강동구,94.0
07,강동구,93.2
08,강동구,90.3
09,강동구,85.9
10,강동구,80.5
11,강동구,77.6
12,강동구,75.0
