월,구,수급등급
01,노원구,89.9
02,노원구,89.0
03,노원구,88.2
04,노원구,87.8
05,노원구,88.7
06,노원구,87.6
07,노원구,94.3
08,노원구,98.0
09,노원구,100.5
10,노원구,105.4
11,노원구,106.3
12,노원구,111.4
01,은평구,73.0
02,은평구,68.9
03,은평구,68.6
04,은평구,67.7
05,은평구,68.1
06,은평구,70.4
07,은평구,82.8
08,은평구,88.3
09,은평구,90.5
10,은평구,93.4
11,은평구,96.6
12,은평구,104.8
01,서대문구,73.0
02,서대문구,68.9
03,서대문구,68.6
04,서대문구,67.7
05,서대문구,68.1
06,서대문구,70.4
07,서대문구,82.8
08,서대문구,88.3
09,서대문구,90.5
10,서대문구,93.4
11,서대문구,96.6
12,서대문구,104.8
01,마포구,73.0
02,마포구,68.9
03,마포구,68.6
04,마포구,67.7
05,마포구,68.1
06,마포구,70.4
07,마포구,82.8
08,마포구,88.3
09,마포구,90.5
10,마포구,93.4
11,마포구,96.6
12,마포구,104.8
01,양천구,89.7
02,양천구,81.9
03,양천구,79.2
04,양천구,77.4
05,양천구,77.7
06,양천구,80.2
07,양천구,87.6
08,양천구,94.6
09,양천구,95.6
10,양천구,103.3
11,양천구,105.4
12,양천구,122.2
01,강서구,89.7
02,강서구,81.9
03,강서구,79.2
04,강서구,77.4
05,강서구,77.7
06,강서구,80.2
07,강서구,87.6
08,강서구,94.6
09,강서구,95.6
10,강서구,103.3
11,강서구,105.4
12,강서구,122.2
01,구로구,89.7
02,구로구,81.9
03,구로구,79.2
04,구로구,77.4
05,구로구,77.7
06,구로구,80.2
07,구로구,87.6
08,구로구,94.6
09,구로구,95.6
10,구로구,103.3
11,구로구,105.4
12,구로구,122.2
01,금천구,89.7
02,금천구,81.9
03,금천구,79.2
04,금천구,77.4
05,금천구,77.7
06,금천구,80.2
07,금천구,87.6
08,금천구,94.6
09,금천구,95.6
10,금천구,103.3
11,금천구,105.4
12,금천구,122.2
01,영등포구,89.7
02,영등포구,81.9
03,영등포구,79.2
04,영등포구,77.4
05,영등포구,77.7
06,영등포구,80.2
07,영등포구,87.6
08,영등포구,94.6
09,영등포구,95.6
10,영등포구,103.3
11,영등포구,105.4
12,영등포구,122.2
01,동작구,89.7
02,동작구,81.9
03,동작구,79.2
04,동작구,77.4
05,동작구,77.7
06,동작구,80.2
07,동작구,87.6
08,동작구,94.6
09,동작구,95.6
10,동작구,103.3
11,동작구,105.4
12,동작구,122.2
01,관악구,89.7
02,관악구,81.9
03,관악구,79.2
04,관악구,77.4
05,관악구,77.7
06,관악구,80.2
07,관악구,87.6
08,관악구,94.6
09,관악구,95.6
10,관악구,103.3
11,관악구,105.4
12,관악구,122.2
01,서초구,84.3
02,서초구,79.0
03,서초구,80.6
04,서초구,80.9
05,서초구,82.6
06,서초구,85.7
07,서초구,94.6
08,서초구,99.6
09,서초구,102.0
10,서초구,108.9
11,서초구,111.4
12,서초구,118.5
01,강남구,84.3
02,강남구,79.0
03,강남구,80.6
04,강남구,80.9
05,강남구,82.6
06,강남구,85.7
07,강남구,94.6
08,강남구,99.6
09,강남구,102.0
10,강남구,108.9
11,강남구,111.4
12,강남구,118.5
01,송파구,84.3
02,송파구,79.0
03,송파구,80.6
04,송파구,80.9
05,송파구,82.6
06,송파구,85.7
07,송파구,94.6
08,송파구,99.6
09,송파구,102.0
10,송파구,108.9
11,송파구,111.4
12,송파구,118.5
01,강동구,84.3
02,강동구,79.0
03,강동구,80.6
04,강동구,80.9
05,강동구,82.6
06,강동구,85.7
07,강동구,94.6
08,강동구,99.6
09,강동구,102.0
10,강동구,108.9
11,강동구,111.4
12,강동구,118.5
