연도,구,ARS-ID,정류소명,노선수,X좌표,Y좌표
2020,종로구,1607,EN갤러리,2,126.9706087294,37.6134217965
2020,종로구,1667,종로문화센터,1,126.9645321424,37.5746935562
2020,종로구,1682,동대문역.2번출구,1,127.0117218002,37.5720494465
2020,종로구,1683,종각역YMCA,2,126.98508926,37.5703976388
2020,종로구,1684,서교빌라,1,126.9571553655,37.601989057
2020,종로구,1685,경복궁역,1,126.9724733176,37.5770722054
2020,종로구,1686,연건동,1,,
2020,종로구,1697,성대입구,1,126.998853007,37.5832668015
2020,종로구,1698,무애사,2,126.9718458037,37.6139004282
2020,종로구,1699,단군성전앞,1,126.9653175119,37.5755600915
2020,종로구,1702,동대문종합시장,1,127.004958038,37.5712161296
2020,종로구,1714,상명초등학교,1,126.956715418,37.6009238115
2020,종로구,1720,법련사,1,126.9796650539,37.5765879752
2020,종로구,1721,광화문새마을금고,1,126.9710277184,37.5794930902
2020,종로구,1722,성균관대학교,1,126.996646,37.584886
2020,종로구,1723,참샘골공원,2,126.9742524976,37.6146097003
2020,종로구,1724,활터앞,1,126.9653293849,37.5768126115
2020,종로구,1725,종로5가.3번출구,2,127.0020898456,37.5714192458
2020,종로구,1727,인사동들머리.3.1독립선언터,1,126.983296967,37.5719470235
2020,종로구,1728,정독도서관,1,126.980080541,37.5802605382
2020,종로구,1729,오거리.한옥마을입구,1,126.9697392663,37.5794684375
2020,종로구,1732,밀알기도원,2,126.9757438761,37.6163963984
2020,종로구,1763,종로1가,3,126.980129,37.57037
2020,종로구,1776,종로도서관,1,126.9671251598,37.5764842271
2020,종로구,1790,종로사우나,1,126.9877503526,37.5738011149
2020,종로구,1791,엄마분식,1,126.9557163281,37.6012424257
2020,종로구,1792,삼청파출소,1,126.9813258198,37.58164517
2020,종로구,1793,통인시장.종로구보건소,2,126.9687504797,37.5803350289
2020,종로구,1794,종로5가역,1,127.000038992,37.5707724724
2020,종로구,1795,평창공원지킴터입구,2,126.9771030504,37.6173560499
2020,종로구,1796,배화여중고,1,126.9676986337,37.5767787564
2020,종로구,1797,대학로입구.이화사거리,1,127.0025801998,37.5759841652
2020,종로구,1798,운현궁,1,126.9869813803,37.5752716136
2020,종로구,1799,상명대입구,1,126.9569583018,37.6000210109
2020,종로구,1800,삼청동주민센터,1,126.9822105151,37.5846846831
2020,종로구,1801,박노수미술관,1,126.9668944502,37.5810265604
2020,종로구,1802,김창열.윤명로화실,2,126.9783685436,37.616304998
2020,종로구,1803,사직동주민센터,1,126.9689039095,37.5762206893
2020,종로구,1804,충신시장,1,127.005404874,37.5749766498
2020,종로구,1805,안국역2번출구앞,2,126.9861183272,37.5771728174
2020,종로구,1807,금융연수원,1,126.981847891,37.5858776706
